tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,budget,id_TMDB,origin_country,original_language,overview,popularity_film,poster_path,revenue,spoken_languages,tagline,b_annonce,key_words
tt0012349,The Kid,1921,68,"Comedy,Drama,Family",8.2,137924,250000.0,10098,['US'],en,"Un vagabond recueille un enfant abandonné par sa jeune mère qui, quelques années plus tard, est prise de remords et tente de retrouver son fils.",15.652,https://media.themoviedb.org/t/p/original/1d0TOt6CjLRFCYh6yh0les0gmXR.jpg,2500000.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",6 bobines de joie.,https://www.youtube.com/watch?v=UBX2Yy2dqg4,"['angel', 'suicide attempt', 'fistfight', 'slapstick comedy', 'black and white', 'class differences', 'foundling', 'silent film', 'dream sequence', 'semi autobiographical', 'car theft', 'little tramp', 'illegitimate child', 'unwed mother', 'abandoned baby', 'out of wedlock child', 'raised like own child', 'good deed doer']"
tt0013427,Nanook of the North,1922,78,Documentary,7.6,13733,53000.0,669,"['US', 'FR']",en,"Dans le Grand Nord canadien, la vie quotidienne d'une famille d'Esquimaux au fil des saisons. Présentation de Nanouk et des siens en été : arrivée du kayak pagayé par Nanouk et d'où sortent successivement tous les membres de sa famille, sa femme, leurs deux enfants et sa belle-sœur ; vente au comptoir local des fourrures récoltées au cours de l'hiver ; écoute amusée de la musique jouée sur un gramophone (il mordille le disque en riant) ; chasse à l'otarie ; pêche en mer. En hiver : déplacement de la famille en traîneau à chiens, chasse au renard blanc, construction d'un igloo avec une niche pour les chiots, exercice du jeune fils à la chasse aux phoques, installation pour la nuit dans l'igloo. Au cours d'un voyage, la famille est surprise par une tempête de neige et trouve refuge dans un igloo abandonné tandis que les chiens restent dehors, pelotonnés sous le blizzard.",10.952,https://media.themoviedb.org/t/p/original/b0FJ0GotJyivHdgaiXY4vyoKXBA.jpg,0.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Les us et coutumes des Esquimaux du grand Nord canadien.,https://www.youtube.com/watch?v=2VNBg2A-fXY,"['canada', 'winter', 'fishing', 'polar zone', 'harpoon', 'inuit', 'quebec', 'husky', 'kayak', 'walrus', 'arctic polar circle region', 'silent film']"
tt0014532,The Ten Commandments,1923,136,"Biography,Drama,History",6.8,2739,1800000.0,24805,['US'],en,"Dans sa première partie, le film raconte l'épisode biblique de la captivité des Hébreux en Égypte à l'époque du pharaon Ramsès II (Charles de Rochefort), leur exode vers la Terre Promise, la traversée de la Mer Rouge, Moïse (Theodore Roberts) recevant les tables des Dix Commandements. La seconde partie se situe dans les années 1920. Elle relate l'histoire des deux fils d'une femme bigote (Edythe Chapman), l'un mauvais garçon (Rod La Roque), l'autre sérieux (Richard Dix), qui convoitent tous deux la même jeune femme.",13.367,https://media.themoviedb.org/t/p/original/uQNsUtxDp5G3qq1a2Wc1ycjF5AL.jpg,0.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",,https://www.youtube.com/watch?v=XbmLp_Pl3pY,"['dancing', 'army', 'moses', 'hunger', 'cathedral', 'stowaway', 'sin', 'money', 'black and white', 'church', 'slave', 'dog', 'dead boy', 'silent film', 'pearl necklace', 'newspaper article', 'pharaoh', 'passover']"
tt0017925,The General,1926,78,"Action,Adventure,Comedy",8.1,100171,750000.0,961,['US'],en,"Conducteur de locomotive, Johnnie Gray habite à Marietta, en Géorgie. Il est fiancé à Annabelle Lee. La guerre de Sécession éclate : le père et le frère de la jeune fille sont incorporés. Pas Johnny, qu'on juge plus utile à son poste et qu'entache ainsi, aux yeux de tous et même de sa fiancée, un soupçon de couardise. Un jour, des soldats nordistes volent sa locomotive, la «General», et enlèvent dans la foulée sa fiancée, Annabelle Lee. De peur d'être définitivement pris pour un lâche, Johnnie s'en va-t-en guerre : il se lance seul à la poursuite des voleurs...",11.15,https://media.themoviedb.org/t/p/original/fBqCF0ScIDElrSKzaXz0fHc85Nj.jpg,1000000.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]","L'histoire d'un garçon, d'une fille et d'une locomotive.",https://www.youtube.com/watch?v=ZROzVhuddiI,"['cannon', 'army', 'general', 'southern usa', 'spy', 'fiancé', 'bridge', 'engineer', 'attack', 'black and white', 'train', 'silent film', 'behind enemy lines', 'american civil war']"
tt0018742,The Cameraman,1928,76,"Comedy,Drama,Family",8.0,13500,0.0,31411,['US'],en,"A New-York, les débuts de Shannon comme reporter d'une compagnie d'actualités cinématographiques sont désastreux. Encouragé par Sally, la secrétaire de la compagnie, il s'impose en tournant une émeute dans le quartier chinois. Ensuite, il sauve Sally évanouie lors d'un accident de hors-bord ; exploit que s'attribue un lâche, mais un singe avait tourné la manivelle de l'appareil de Keaton et filmé la scène.",6.686,https://media.themoviedb.org/t/p/original/chSpEcxU7yC9XwaUuUDtbH8TVjc.jpg,0.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",,https://www.youtube.com/watch?v=kbGF-ICdN-c,"['new york city', 'love at first sight', 'date', 'chinatown', 'street war', 'beautiful woman', 'secretary', 'gun battle', 'black and white', 'monkey', 'policeman', 'infatuation', 'silent film', 'physical comedy', 'cameraman', 'yankee stadium', 'changing room', 'baseball stadium', 'street fight', 'streetcar', 'newsreel cameraman', 'heroic rescue', 'public pool', 'chinese tong', 'newsreel office', 'rumble', 'chinese festival', 'monkey with gun']"
tt0022125,Marius,1931,130,"Comedy,Drama,Romance",7.8,2657,0.0,42818,['FR'],fr,"César astique son comptoir et sert de généreux pastis aux habitués de son café, le bar de la Marine, installé sur le Vieux-Port de Marseille. Entre deux parties de cartes avec ses plus fidèles clients, il espère que Marius, son fils, lui succédera bien gentiment à la tête de sa petite affaire. Mais Marius a d'autres ambitions. Il ne rêve que de voyages au long cours, sur les grands bateaux qu'il ne cesse de voir appareiller depuis son enfance. Fanny, la fille d'Honorine Cabanis, la poissonnière, aimerait bien, elle aussi, retenir Marius. Pourtant, c'est le bon Panisse, l'un des amis de César, qui la demande en mariage. Et César de sortir de ses gonds...",5.099,https://media.themoviedb.org/t/p/original/tXzmV2LCH8zSNlFmcAQTGKzqv6y.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",,https://www.youtube.com/watch?v=z3G1GkEAGmw,['love']
tt0022827,Doctor X,1932,76,"Comedy,Crime,Horror",6.4,4421,0.0,3574,['US'],en,"Un dangereux maniaque tue des femmes, uniquement lors des nuit de pleine lune. La police découvre que le tueur utilise un scalpel qui n'est employé qu'à l'académie de médecine du Docteur Xavier. Celui-ci décide alors de mener une enquête afin de déterminer lequel des scientifiques travaillant dans son établissement est le tueur, surnommé ""Tueur de la pleine lune""...",7.1,https://media.themoviedb.org/t/p/original/z8hlncTkxO58t5KAvNRTXnm29Ii.jpg,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,https://www.youtube.com/watch?v=H-hroT4t-1s,"['new york city', 'experiment', 'full moon', 'morgue', 'mad scientist', 'reporter', 'series of murders', 'pre-code', 'scalpel']"
tt0022877,Fanny,1932,125,"Comedy,Drama",7.8,1983,0.0,43146,['FR'],fr,"Marius est parti en mer. Fanny découvre qu'elle est enceinte et l'annonce à sa mère, qui manque de s'étouffer sous le poids de ce soudain déshonneur. Remise de son émotion, Honorine imagine vite une parade qui réglerait la question en douceur. Si Panisse, depuis toujours amoureux de sa fille, acceptait de l'épouser, le pire serait évité. Fanny ne dédaigne pas cette solution mais préfère avouer la vérité à Panisse, qui ne se laisse pas impressionner. Cet enfant a besoin d'un père. Panisse sera celui-là. César montre, quant à lui, davantage de réticences, mais ne peut empêcher le mariage. Le petit Césariot vient au monde. Panisse l'élève avec un amour inégalé...",5.416,https://media.themoviedb.org/t/p/original/g8spWFaSdOIz4W1NJeDUG6PgGYu.jpg,0.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",,https://www.youtube.com/watch?v=HOHN0t-mlKc,"['husband wife relationship', 'sexual obsession', 'platonic love', 'moral conflict', 'love', 'pregnant woman', 'selfishness', 'older husband', 'ego in love', 'tragicomedy', 'maternal love', 'pregnant without husband']"
tt0023293,The Old Dark House,1932,72,"Adventure,Comedy,Drama",7.0,13643,0.0,31592,['US'],en,"Dans une région reculée du Pays de Galles, cinq voyageurs assaillis par une tempête incessante trouvent refuge dans un vieux manoir.",7.774,https://media.themoviedb.org/t/p/original/9WQbHaqy7LWptKM9M4MDTT4eLWa.jpg,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,https://www.youtube.com/watch?v=NDOTuOBrxps,"['wales', 'based on novel or book', 'family secrets', 'social satire', 'old dark house', 'madness', 'pre-code', 'isolated house', 'stormy night', 'creepy house', 'mute servant', 'social prejudices']"
tt0023470,The Sign of the Cross,1932,125,"Drama,History",6.8,2784,0.0,50070,['US'],en,"Alors que les Chrétiens sont la cible de la vindicte de Néron, Marcus Superbus, le préfet de Rome, tombe amoureux de l'une d'entre eux, Mercia. Poppée, femme de Néron et maîtresse de Marcus, fait arrêter la belle Chrétienne, qui est condamnée à être jetée aux lions...",2.854,https://media.themoviedb.org/t/p/original/zdgBEa7OUKCcFfG1sRiWCMKJIA8.jpg,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,https://www.youtube.com/watch?v=LDoqRDijMjA,"['arena', 'ancient rome', 'empress', 'pre-code', 'nero', '1st century']"
